도로종류,노선명,시설명,시도,시군구,읍면동,리,총길이,총폭,유효폭,높이,교통량,준공년도
고속국도,고속국도10호선,벌교2터널(순천),전라남도,보성군,벌교읍,옥전리,572,11.5,,7.3,8142,2012
고속국도,고속국도10호선,벌교2터널(영암),전라남도,보성군,벌교읍,옥전리,499,11.5,,7.3,8142,2012
고속국도,고속국도10호선,벌교3터널(순천),전라남도,보성군,벌교읍,마동리,1980,12.6,,7.4,8142,2012
고속국도,고속국도10호선,벌교3터널(영암),전라남도,보성군,벌교읍,마동리,1960,12.6,,7.4,8142,2012
고속국도,고속국도65호선,범서1터널(부산),울산광역시,울주군,범서읍,서사리,805,10.7,,7.3,12607,2015
고속국도,고속국도65호선,범서1터널(포항),울산광역시,중구,다운동,,803,10.7,,7.3,12607,2015
고속국도,고속국도65호선,범서2터널(부산),울산광역시,울주군,범서읍,서사리,585,10.7,,7.3,12607,2015
고속국도,고속국도65호선,범서2터널(포항),울산광역시,울주군,범서읍,서사리,610,10.7,,7.3,12607,2015
고속국도,고속국도65호선,범서3터널(부산),울산광역시,울주군,범서읍,두산리,275,10.7,,7.3,12607,2015
고속국도,고속국도65호선,범서3터널(포항),울산광역시,울주군,범서읍,두산리,283,10.7,,7.3,12607,2015
고속국도,고속국도65호선,범서4터널(부산),울산광역시,울주군,범서읍,두산리,2708,10.7,,7.3,12607,2015
고속국도,고속국도65호선,범서4터널(포항),경상북도,경주시,외동읍,석계리,2833,10.7,,7.4,12607,2015
고속국도,고속국도10호선,별량1터널(순천),전라남도,순천시,별량면,금치리,864,11.5,,8.2,11506,2012
고속국도,고속국도10호선,별량1터널(영암),전라남도,승주군,별량면,금치리,872,11.5,,8.2,11506,2012
고속국도,고속국도10호선,별량2터널(순천),전라남도,순천시,별량면,송기리,1121,12.6,,8.3,11506,2012
고속국도,고속국도10호선,별량2터널(영암),전라남도,순천시,별량면,송기리,1117,12.6,,8.3,11506,2012
고속국도,고속국도10호선,별량3터널(순천),전라남도,순천시,별량면,원창리,588,11.5,,7.3,11506,2012
고속국도,고속국도10호선,별량3터널(영암),전라남도,순천시,별량면,원창리,596,11.5,,7.3,11506,2012
고속국도,고속국도12호선,병곡1터널(광주),경상남도,함양군,병곡면,옥계리,309,11.9,,7.3,6416,2015
고속국도,고속국도12호선,병곡1터널(대구),경상남도,함양군,병곡면,옥계리,324,11.9,,7.3,6416,2015
고속국도,고속국도12호선,병곡2터널(광주),경상남도,함양군,병곡면,송평리,640,11.9,,7.3,6416,2015
고속국도,고속국도12호선,병곡2터널(대구),경상남도,함양군,병곡면,송평리,583,11.9,,7.3,6416,2015
고속국도,고속국도55호선,보문터널(부산),경상북도,안동시,풍산읍,신양리,778,10,,6.7,10218,1999
고속국도,고속국도55호선,보문터널(춘천),경상북도,안동시,풍산읍,신양리,801,10,,6.7,10218,1999
고속국도,고속국도10호선,보성터널(순천),전라남도,보성군,보성읍,대야리,1179,12.6,,7.3,5332,2012
고속국도,고속국도10호선,보성터널(영암),전라남도,보성군,보성읍,대야리,1154,12.6,,7.3,5332,2012
고속국도,고속국도12호선,보평터널(광주),전라남도,무안군,무안읍,매곡리,937,10.7,,7.2,4015,2007
고속국도,고속국도12호선,보평터널(무안),전라남도,무안군,무안읍,매곡리,937,10.7,,7.2,4015,2007
고속국도,고속국도400호선,봉담터널(봉담),경기도,화성시,비봉면,청요리,560,10.7,10.7,7,13123,2021
고속국도,고속국도400호선,봉담터널(송산),경기도,화성시,봉담읍,상기리,555,10.7,10.7,7,13123,2021
고속국도,고속국도17호선,봉대산터널(문산),경기도,고양시,강매동,,386,10.7,10.7,6.5,3450,2020
고속국도,고속국도17호선,봉대산터널(서울),경기도,고양시,강매동,,376,10.7,10.7,6.5,3450,2020
고속국도,고속국도50호선,봉평터널(강릉),강원도,평창군,용평면,백옥포리,1445,10,,6.8,17403,1999
고속국도,고속국도50호선,봉평터널(인천),강원도,평창군,용평면,백옥포리,1420,10,,6.8,17403,1999
고속국도,고속국도55호선,봉현터널(부산),경상북도,영주시,봉현면,오현리,533,10,,6.7,9521,2001
고속국도,고속국도55호선,봉현터널(춘천),경상북도,영주시,봉현면,오현리,532,10,,6.7,9521,2001
고속국도,고속국도20호선,부귀1터널(익산),전라북도,진안군,부귀면,신정리,698,11.2,,7.3,8175,2007
고속국도,고속국도20호선,부귀1터널(장수),전라북도,진안군,부귀면,신정리,698,11.2,,7.3,8175,2007
고속국도,고속국도20호선,부귀2터널(익산),전라북도,진안군,부귀면,신정리,810,11.2,,7.3,8175,2007
고속국도,고속국도20호선,부귀2터널(장수),전라북도,진안군,부귀면,신정리,810,11.2,,7.3,8175,2007
고속국도,고속국도151호선,부여1터널(공주),충청남도,부여군,은산면,신대리,181,10.7,,7.3,10276,2009
고속국도,고속국도151호선,부여1터널(서천),충청남도,부여군,은산면,신대리,181,10.7,,7.3,10276,2009
고속국도,고속국도151호선,부여2터널(공주),충청남도,부여군,옥산면,가덕리,250,10.7,,7.3,10172,2009
고속국도,고속국도151호선,부여2터널(서천),충청남도,부여군,옥산면,가덕리,250,10.7,,7.3,10172,2009
고속국도,고속국도60호선,북방1터널(서울),강원도,춘천시,동산면,봉명리,2285,12.3,,7.3,18262,2009
고속국도,고속국도60호선,북방1터널(양양),강원도,춘천시,동산면,봉명리,2298,12.3,,7.3,18262,2009
고속국도,고속국도60호선,북방2터널(서울),강원도,홍천군,북방면,성동리,330,11.6,,7.3,18262,2009
고속국도,고속국도60호선,북방2터널(양양),강원도,홍천군,북방면,성동리,326,11.6,,7.3,18262,2009
